card,set,art_type,printing,price_usd,listing_title,source_page,source_url,verification,captured_date
'Mad' Pat Carrik,Into the Accordlands,Standard,,0.35,'Mad' Pat Carrik [Into the Accordlands],14,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=14,Direct collection listing,2026-08-01
Abd al-Rahiim,Into the Accordlands,Standard,,0.35,Abd al-Rahiim [Into the Accordlands],20,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=20,Direct collection listing,2026-08-01
Ablung the Maker,Box of Greed,Standard,,0.35,Ablung the Maker [Box of Greed],17,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=17,Direct collection listing,2026-08-01
Ablung's Prisms,Into the Accordlands,Standard,,0.35,Ablung's Prisms [Into the Accordlands],20,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=20,Direct collection listing,2026-08-01
Ablung's Quickmail,Box of Greed,Standard,,0.35,Ablung's Quickmail [Box of Greed],13,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=13,Direct collection listing,2026-08-01
Ac'Vuk,Into the Accordlands,Standard,,0.35,Ac'Vuk [Into the Accordlands],16,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=16,Direct collection listing,2026-08-01
Adarymy,Box of Greed,Standard,,0.75,Adarymy [Box of Greed],18,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=18,Direct collection listing,2026-08-01
"Adathan, Celestial Messenger",Into the Accordlands,Extended,,2.0,"Adathan, Celestial Messenger (Extended Art) [Into the Accordlands]",21,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=21,Direct collection listing,2026-08-01
"Adathan, Celestial Messenger",Into the Accordlands,Standard,,1.5,"Adathan, Celestial Messenger [Into the Accordlands]",14,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=14,Direct collection listing,2026-08-01
Aida,Box of Greed,Standard,,0.35,Aida [Box of Greed],15,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=15,Direct collection listing,2026-08-01
Alaya,Into the Accordlands,Standard,,0.35,Alaya [Into the Accordlands],14,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=14,Direct collection listing,2026-08-01
Albrecht,Box of Greed,Extended,,0.75,Albrecht (Extended Art) [Box of Greed],19,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=19,Direct collection listing,2026-08-01
Albrecht Novice,Into the Accordlands,Standard,,0.35,Albrecht Novice [Into the Accordlands],14,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=14,Direct collection listing,2026-08-01
Allisara,Box of Greed,Extended,,0.75,Allisara (Extended Art) [Box of Greed],15,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=15,Direct collection listing,2026-08-01
Alloy Gargoyle,Box of Greed,Standard,,0.35,Alloy Gargoyle [Box of Greed],8,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=8,Direct collection listing,2026-08-01
Alrayn Gaunt,Into the Accordlands,Extended,,5.0,Alrayn Gaunt (Extended Art) [Into the Accordlands],21,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=21,Direct collection listing,2026-08-01
Alrayn Gaunt,Into the Accordlands,Standard,,1.5,Alrayn Gaunt [Into the Accordlands],12,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=12,Direct collection listing,2026-08-01
Ambitious Squire,Into the Accordlands,Standard,,0.35,Ambitious Squire [Into the Accordlands],12,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=12,Direct collection listing,2026-08-01
Anacaona,Into the Accordlands,Extended,,0.75,Anacaona (Extended Art) [Into the Accordlands],10,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=10,Direct collection listing,2026-08-01
Anacaona,Into the Accordlands,Standard,,0.75,Anacaona [Into the Accordlands],21,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=21,Direct collection listing,2026-08-01
Angel's Tears,Into the Accordlands,Standard,,0.35,Angel's Tears [Into the Accordlands],16,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=16,Direct collection listing,2026-08-01
Animal,Into the Accordlands,Standard,,0.35,Animal [Into the Accordlands],22,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=22,Direct collection listing,2026-08-01
Annales Deverenium,Into the Accordlands,Standard,,0.75,Annales Deverenium [Into the Accordlands],14,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=14,Direct collection listing,2026-08-01
Annetta Yscar,Into the Accordlands,Extended,,0.75,Annetta Yscar (Extended Art) [Into the Accordlands],9,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=9,Direct collection listing,2026-08-01
Annetta Yscar,Into the Accordlands,Standard,,0.75,Annetta Yscar [Into the Accordlands],21,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=21,Direct collection listing,2026-08-01
Another Tavern Brawl,Into the Accordlands,Extended,ITA-P15,6.56,Another Tavern Brawl (Extended Art) [Into the Accordlands],22,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=22,Direct collection listing,2026-08-01
Another Tavern Brawl,Into the Accordlands,Standard,,0.35,Another Tavern Brawl [Into the Accordlands],20,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=20,Direct collection listing,2026-08-01
